Invitation Code,Number of Interactions,Number of responses per Test ,Employee ,Expiry Date,External Bot user ,Video Creator ,Team user ,One time user,User Type
ANSWER100,5,10,Y,,Y,Y,Y,Y ,VIP
ANSWER120,10,20,Y,,Y,Y,Y,Y ,VIP
ANSWER130,30,50,Y,,Y,Y,Y,Y ,VIP
ANSWER140,100,100,Y,,Y,Y,Y,Y ,VIP
ANSWER141,100,100,Y,,Y,Y,Y,Y ,VIP
ANSWER142,100,100,Y,,Y,Y,Y,Y ,VIP
ANSWER143,100,100,Y,,Y,Y,Y,Y ,VIP
ANSWER144,100,100,Y,,Y,Y,Y,Y ,VIP
ANSWER145,100,100,Y,,Y,Y,Y,Y ,VIP
ANSWER146,100,100,Y,,Y,Y,Y,Y ,VIP
ANSWER200,5,10,N,6/6/2023,Y,N,N,Y ,Bot
ANSWER220,10,20,N,6/6/2023,Y,N,N,Y ,Bot
ANSWER230,30,50,N,6/6/2023,Y,N,N,Y ,Bot
ANSWER240,100,100,N,6/6/2023,Y,N,N,Y ,Bot
TOPMENTOR400,5,10,N,6/6/2023,N,N,Y,Y ,Team 
TOPMENTOR420,10,20,N,6/6/2023,N,N,Y,Y ,Team 
TOPCOACH430,30,50,N,6/6/2023,N,N,Y,Y ,Team 
TOPCOACH440,100,100,N,6/6/2023,N,N,Y,Y ,Team 
ANSWER500,5,10,N,6/6/2023,Y ,Y ,N ,Y ,Bot Video 
ANSWER520,10,20,N,6/6/2023,Y ,Y ,N ,Y ,Bot Video 
ANSWER530,30,50,N,6/6/2023,Y ,Y ,N ,Y ,Bot Video 
ANSWER540,100,100,N,6/6/2023,Y ,Y ,N ,Y ,Bot Video 
PREMIUM500,5,10,N,6/6/2023,N,Y ,N ,Y ,Video
PREMIUM520,10,20,N,6/6/2023,N,Y ,N ,Y ,Video
PREMIUM530,30,50,N,6/6/2023,N,Y ,N ,Y ,Video
PREMIUM540,100,100,N,6/6/2023,N,Y ,N ,Y ,Video
FREETRIAL10,5,5,N,,N,N,N,N,AudioTrial
FREETRIAL11,5,5,N,,N,N,N,N,AudioTrial
FREETRIAL12,5,5,N,,N,N,N,N,AudioTrial
FREETRIAL13,5,5,N,,N,N,N,N,AudioTrial
FREETRIAL14,5,5,N,,N,N,N,N,AudioTrial
FREETRIAL15,5,5,N,,N,N,N,N,AudioTrial
FREETRIAL16,5,5,N,,N,N,N,N,AudioTrial
FREETRIAL17,5,5,N,,N,N,N,N,AudioTrial
FREETRIAL18,5,5,N,,N,N,N,N,AudioTrial
FREETRIAL19,5,5,N,,N,N,N,N,AudioTrial
FREETRIAL20,5,5,N,,N,N,N,N,AudioTrial
FREETRIAL21,5,5,N,,N,N,N,N,AudioTrial
FREETRIAL22,5,5,N,,N,N,N,N,AudioTrial
FREETRIAL23,5,5,N,,N,N,N,N,AudioTrial
FREETRIAL24,5,5,N,,N,N,N,N,AudioTrial
FREETRIAL25,5,5,N,,N,N,N,N,AudioTrial
FREETRIAL26,5,5,N,,N,Y,N,N,VideoTrial
FREETRIAL27,5,5,N,,N,Y,N,N,VideoTrial
FREETRIAL28,5,5,N,,N,Y,N,N,VideoTrial
FREETRIAL29,5,5,N,,N,Y,N,N,VideoTrial
FREETRIAL30,5,5,N,,N,Y,N,N,VideoTrial
FREETRIAL31,5,5,N,,N,Y,N,N,VideoTrial
FREETRIAL32,5,5,N,,N,Y,N,N,VideoTrial
FREETRIAL33,5,5,N,,N,Y,N,N,VideoTrial
FREETRIAL34,5,5,N,,N,Y,N,N,VideoTrial
FREETRIAL35,5,5,N,,N,Y,N,N,VideoTrial
